일자,휴일구분,전체건수,성인건수,청소년건수,어린이건수,경로건수,유공자건수,장애인건수,3세미만건수,연간회원건수,평균기온,일강수량,평균상대습도,평균현지기압,미세먼지_PM10,미세먼지_PM25
2023-01-01,일요일,1875,904,57,381,27,2,24,94,386,-0.8,0,54.1,1022.6,37,25
2023-01-02,평일,422,197,12,124,5,6,1,15,62,-3,0,40.6,1023.9,18,9
2023-01-03,평일,379,177,37,85,14,2,4,8,52,-3.5,0,55,1022.4,23,11
2023-01-04,평일,498,210,25,111,9,4,10,49,80,-1.5,0,53.3,1022.3,25,14
2023-01-05,평일,426,194,42,113,10,2,4,13,48,-1.1,0,66.1,1022.5,54,43
2023-01-06,평일,533,235,20,200,2,1,2,16,57,1.1,2.1,72.4,1014.3,95,87
2023-01-07,토요일,1705,873,73,437,9,3,29,110,171,2.6,0.7,62.1,1011.8,118,80
2023-01-08,일요일,1917,892,67,398,35,4,19,111,391,1.2,0,62.4,1016.7,77,26
2023-01-09,평일,345,172,24,84,10,1,1,16,37,1.9,0,62.5,1016.2,69,30
2023-01-10,평일,488,224,16,145,12,1,3,20,67,1.2,0,55.8,1020.3,48,26
2023-01-11,평일,616,273,47,156,7,2,18,53,60,2.2,0,55,1018,50,33
2023-01-12,평일,870,411,66,206,12,3,12,37,123,5.1,0,52.6,1014,45,27
2023-01-13,평일,126,78,2,38,2,0,0,3,3,9,21.6,94.4,1003.3,27,16
2023-01-14,토요일,443,217,29,110,3,0,8,11,65,7.3,2.6,93,1005.3,9,5
2023-01-15,일요일,393,177,30,89,8,0,5,6,78,0.4,0.5,81,1010.3,12,6
2023-01-16,평일,332,140,35,109,7,1,1,9,30,-3.1,0,58.5,1016.8,21,10
2023-01-17,평일,273,133,27,82,8,1,4,7,11,-2.4,0,55.1,1018.6,28,16
2023-01-18,평일,300,156,49,62,5,2,6,4,16,-0.8,0,61.6,1017.9,47,21
2023-01-19,평일,387,217,30,91,2,0,2,20,25,0.6,0,56.3,1015.8,57,25
2023-01-20,평일,290,91,23,121,4,0,3,7,41,-1,0.2,43.1,1019.3,72,16
2023-01-21,토요일,910,451,50,172,19,9,10,29,170,-3.3,0,51,1022.2,25,9
2023-01-22,일요일,1274,721,50,271,49,4,9,22,148,-0.5,0,58.1,1017.8,28,12
2023-01-23,휴일,3810,1833,152,787,102,32,100,307,497,0.6,0,61.5,1014.7,50,27
2023-01-24,휴일,200,110,13,37,4,0,4,3,29,-10.9,0,50.8,1020.4,28,9
2023-01-25,평일,32,18,5,6,0,1,1,0,1,-11.4,0,42.9,1022.4,23,6
2023-01-26,평일,96,55,6,19,1,0,1,7,7,-5.8,0.7,70.1,1015.7,23,15
2023-01-27,평일,122,78,12,19,1,0,4,1,7,-6,0,55.1,1014.6,23,11
2023-01-28,토요일,893,366,125,269,10,1,10,8,104,-5.8,0,60.4,1014.5,25,10
2023-01-29,일요일,1372,630,73,291,13,0,14,38,313,-1.1,0,63.4,1011.8,40,14
2023-01-30,평일,497,194,76,156,2,3,5,8,53,-0.4,0,42.8,1015.3,38,10
2023-01-31,평일,419,210,36,98,6,7,4,7,51,2.3,0,54.8,1010.6,27,13
2023-02-01,평일,474,224,58,98,9,1,7,39,38,3.1,0,53.9,1011.2,43,18
2023-02-02,평일,348,177,41,79,3,0,7,16,25,-1.5,0,42.8,1018.4,41,14
2023-02-03,평일,540,242,69,125,6,3,39,14,42,-0.8,0,41.4,1015.3,35,12
2023-02-04,토요일,3244,1587,163,791,24,6,21,156,496,-0.6,0,53.8,1017,38,28
2023-02-05,일요일,3716,1742,152,900,36,13,41,174,658,0.7,0,57.6,1017,55,42
2023-02-06,평일,646,326,39,173,6,3,11,32,56,2.1,0,52.8,1014,67,50
2023-02-07,평일,505,249,74,115,8,1,8,15,35,2.9,0,52.5,1012.9,82,63
2023-02-08,평일,610,309,69,125,10,1,10,46,40,1.8,0,53.4,1018.4,80,65
2023-02-09,평일,733,317,56,276,10,0,4,29,41,3.5,1.1,54.4,1018.3,46,34
2023-02-10,평일,542,202,41,185,15,4,10,43,42,2.9,3,83.1,1012.4,22,16
2023-02-11,토요일,4168,2020,279,1226,27,10,42,160,404,0.9,0,83.6,1015.5,46,40
2023-02-12,일요일,3595,1668,205,898,37,9,43,195,540,1.9,0,79.3,1013.3,60,54
2023-02-13,평일,703,358,46,195,11,2,12,23,56,6.3,0,62.3,1009.6,39,26
2023-02-14,평일,833,368,71,311,1,4,6,21,51,2.4,0,53,1014.2,46,31
2023-02-15,평일,778,331,50,264,9,3,17,76,28,3.4,0,55.6,1020.2,22,12
2023-02-16,평일,811,270,60,391,12,1,3,10,64,2.7,0,63.6,1022.3,26,21
2023-02-17,평일,1370,578,166,486,11,2,9,39,79,4.2,0,51,1019.1,40,28
2023-02-18,토요일,2946,1342,147,983,30,8,14,99,323,6.4,0.8,55.6,1011.7,48,37
2023-02-19,일요일,2828,1365,190,660,23,8,28,141,413,3.6,0.5,59.6,1011.7,38,31
2023-02-20,평일,897,450,97,250,8,1,17,8,66,-0.1,0,43.4,1018.4,29,5
2023-02-21,평일,595,264,68,198,4,2,10,6,43,-1.1,0,35.6,1025.9,28,13
2023-02-22,평일,1089,444,108,381,9,1,7,12,127,2.1,0,48.9,1021.8,28,17
2023-02-23,평일,1913,778,104,753,22,2,18,59,177,3.4,0,48.4,1016.1,37,22
2023-02-24,평일,2736,1111,122,1176,34,7,43,64,179,2.9,0,49.3,1016.6,54,38
2023-02-25,토요일,5844,2906,314,1870,63,6,40,145,500,0.7,0,41.5,1023.7,30,12
2023-02-26,일요일,6554,3241,319,1962,76,14,45,204,693,1.9,0,37,1028.3,28,15
2023-02-27,평일,4312,2053,152,1555,57,13,19,137,326,4.4,0,38.5,1025.7,34,20
2023-02-28,평일,4655,2014,166,1743,43,9,34,231,415,5.8,0,54.3,1019.1,31,21
2023-03-01,휴일,4924,2326,117,1226,49,17,41,299,849,6.6,0,52.5,1013.9,33,18
2023-03-02,평일,332,178,2,36,7,1,19,22,67,2.3,0,25.9,1019.6,41,6
2023-03-03,평일,447,241,3,62,28,8,8,20,77,4.2,0,45.9,1020,34,10
2023-03-04,토요일,5028,2440,109,1170,44,12,80,373,800,6.4,0,53.3,1020.5,57,32
2023-03-05,일요일,5316,2489,93,1129,53,7,65,369,1111,7.9,0,41,1019,77,53
2023-03-06,평일,433,239,0,53,11,7,12,56,55,8.3,0,38.6,1015.5,62,41
2023-03-07,평일,391,255,6,42,10,3,9,21,45,11.9,0,41.6,1012.5,56,29
2023-03-08,평일,467,269,3,59,3,1,12,40,80,14.5,0,34.9,1011,54,24
2023-03-09,평일,337,163,2,32,6,20,9,38,67,13.9,0,57.3,1007.4,55,33
2023-03-10,평일,729,404,9,101,10,1,27,62,115,14.3,0,48.4,1011.1,72,43
2023-03-11,토요일,8168,4010,166,2033,68,17,81,463,1330,16.4,0,33,1013.7,80,36
2023-03-12,일요일,174,62,8,25,2,0,1,13,63,6.8,12.4,62.1,1012.5,56,21
2023-03-13,평일,231,134,1,40,7,1,8,17,23,3.5,0,31.6,1014.8,30,6
2023-03-14,평일,403,227,1,61,3,5,9,26,71,9.4,0,38.4,1010.5,36,10
2023-03-15,평일,472,266,5,75,9,1,12,47,57,11.5,0,56.4,1012.4,28,9
2023-03-16,평일,337,186,8,54,5,2,8,28,46,6.1,0,24.4,1020.2,62,11
2023-03-17,평일,664,357,1,90,29,9,47,56,75,7.3,0,35.4,1015.1,50,14
2023-03-18,토요일,6472,3165,198,1776,85,23,76,239,910,9.3,0,32,1011.1,49,22
2023-03-19,일요일,6538,3120,147,1521,74,16,93,419,1148,8.7,0,41.4,1012,64,37
2023-03-20,평일,522,322,7,84,10,4,5,26,64,10.6,0,37.8,1007.8,62,38
2023-03-21,평일,586,313,3,85,7,4,52,34,88,14,0,32.5,1003.6,53,19
2023-03-22,평일,772,343,3,101,16,12,44,128,125,17,0,44.9,1001.4,44,20
2023-03-23,평일,125,69,2,19,3,1,8,6,17,15,11.4,77,998.8,62,24
2023-03-24,평일,845,483,6,189,13,4,19,45,86,12.4,0,55,1007.2,166,30
2023-03-25,토요일,5718,2709,142,1677,71,24,60,358,677,10.8,0,65.5,1010.4,69,13
2023-03-26,일요일,6562,3211,165,1458,79,29,92,409,1119,9.7,0,36,1009.6,56,14
2023-03-27,평일,688,358,9,110,23,11,27,56,94,7.4,0,35.5,1014,34,12
2023-03-28,평일,544,303,13,102,13,9,18,32,54,8.7,0,47.1,1016,83,31
2023-03-29,평일,701,381,6,100,24,4,24,57,105,11.8,0,43.5,1014.4,73,26
2023-03-30,평일,1011,472,33,151,53,13,89,85,115,14.2,0,30.3,1011.4,61,22
2023-03-31,평일,1693,833,13,453,38,18,41,84,213,14.7,0,31,1010.2,72,28
2023-04-01,토요일,8698,4383,223,2290,128,43,105,423,1103,16.8,0,30.9,1008.1,61,30
2023-04-02,일요일,7663,3880,193,1689,93,13,56,402,1337,16.9,0,26.8,1011.3,42,22
2023-04-03,평일,1495,740,208,244,53,13,29,89,119,16.8,0,25.8,1014.2,46,25
2023-04-04,평일,751,320,160,120,29,3,25,28,66,15.2,7.6,50.9,1010.9,24,8
2023-04-05,평일,248,212,1,31,0,1,1,0,2,12.1,18.5,91,1001.8,26,11
2023-04-06,평일,362,89,106,112,23,7,6,2,17,8.7,4.2,88.5,1003.7,58,73
2023-04-07,평일,1086,479,172,193,29,7,61,66,79,9,0.3,60,1007.1,68,53
2023-04-08,토요일,6751,3270,192,1857,113,36,116,394,773,8.6,0,44.4,1011.9,42,6
2023-04-09,일요일,7109,3469,140,1527,142,21,121,409,1280,10.1,0,47,1011.7,62,11
2023-04-10,평일,1234,675,13,388,23,7,27,26,75,12.6,0,45.1,1007.7,40,9
2023-04-11,평일,1219,87,163,723,11,5,194,4,32,14.7,0,65.5,1003.9,40,11
2023-04-12,평일,932,331,196,213,78,2,43,14,55,10.9,0,30.1,1010.1,209,19
2023-04-13,평일,1484,407,111,788,32,7,25,41,73,13.5,0,28.8,1009.4,166,20
2023-04-14,평일,2418,700,346,1002,45,15,116,69,125,15.1,0,35.8,1005.1,62,10
2023-04-15,토요일,2592,1047,70,641,63,20,69,68,614,12.5,13.2,74.5,997.2,49,15
2023-04-16,일요일,5282,2622,85,1320,81,18,79,254,823,10.9,0,64.5,998.1,102,26
2023-04-17,평일,2563,639,46,1572,44,13,87,46,116,13.6,0,51.3,1007.1,82,20
2023-04-18,평일,701,51,18,595,7,3,3,1,23,13.8,1.3,78.3,1003.3,53,17
2023-04-19,평일,3368,692,499,1845,84,15,26,89,118,20.2,0,65,1001.6,37,13
2023-04-20,평일,4016,593,89,3034,58,5,97,44,96,19.9,0,69.5,1001.9,47,13
2023-04-21,평일,5205,1033,131,3691,52,12,59,84,143,17.5,0,61,1003.8,86,16
2023-04-22,토요일,8324,3495,160,3002,113,109,205,465,775,16.2,0,30.4,1011.3,218,25
2023-04-23,일요일,5342,2801,87,1213,107,45,124,241,724,15.9,0,36.4,1014.7,135,19
2023-04-24,평일,2269,585,19,1368,43,40,93,44,77,15,0,41.9,1014.8,42,15
2023-04-25,평일,1367,80,2,1208,7,0,53,3,14,9.3,1.8,74.6,1008,23,10
2023-04-26,평일,3412,644,8,2562,23,10,26,60,79,9.5,0,66.8,1006.6,27,11
2023-04-27,평일,6257,822,519,4473,93,18,102,125,105,12.7,0,51.5,1012.1,26,11
2023-04-28,평일,5822,1102,1126,3283,49,8,64,52,138,16.2,0,53.6,1008.3,31,13
2023-04-29,토요일,1231,631,43,344,31,5,9,21,147,14,7.6,81,1000,30,11
2023-04-30,일요일,11765,6341,279,3077,191,58,178,704,937,13.5,0,57.4,1003.4,41,11
2023-05-01,휴일,11328,4755,715,4149,148,37,94,461,969,14.7,0,49.6,1009.5,49,19
2023-05-02,평일,2313,570,182,1343,39,4,26,50,99,17,0,42.1,1014.3,29,12
2023-05-03,평일,2954,754,720,1094,106,8,59,76,137,19.1,0,46.4,1012.9,33,13
2023-05-04,평일,7327,776,4878,1324,38,9,50,106,146,20.1,1.8,63,1005.6,26,12
