holiday,weekend,mon,tue,wed,thur,fri,sat,sun,temperature,rain,humidity
1,1,0,0,0,0,0,0,1,-0.8,0.0,54.1
0,0,1,0,0,0,0,0,0,-3.0,0.0,40.6
0,0,0,1,0,0,0,0,0,-3.5,0.0,55.0
0,0,0,0,1,0,0,0,0,-1.5,0.0,53.3
0,0,0,0,0,1,0,0,0,-1.1,0.0,66.1
0,0,0,0,0,0,1,0,0,1.1,2.1,72.4
1,1,0,0,0,0,0,1,0,2.6,0.7,62.1
1,1,0,0,0,0,0,0,1,1.2,0.0,62.4
0,0,1,0,0,0,0,0,0,1.9,0.0,62.5
0,0,0,1,0,0,0,0,0,1.2,0.0,55.8
0,0,0,0,1,0,0,0,0,2.2,0.0,55.0
0,0,0,0,0,1,0,0,0,5.1,0.0,52.6
0,0,0,0,0,0,1,0,0,9.0,21.6,94.4
1,1,0,0,0,0,0,1,0,7.3,2.6,93.0
1,1,0,0,0,0,0,0,1,0.4,0.5,81.0
0,0,1,0,0,0,0,0,0,-3.1,0.0,58.5
0,0,0,1,0,0,0,0,0,-2.4,0.0,55.1
0,0,0,0,1,0,0,0,0,-0.8,0.0,61.6
0,0,0,0,0,1,0,0,0,0.6,0.0,56.3
0,0,0,0,0,0,1,0,0,-1.0,0.2,43.1
1,1,0,0,0,0,0,1,0,-3.3,0.0,51.0
1,1,0,0,0,0,0,0,1,-0.5,0.0,58.1
1,0,1,0,0,0,0,0,0,0.6,0.0,61.5
1,0,0,1,0,0,0,0,0,-10.9,0.0,50.8
0,0,0,0,1,0,0,0,0,-11.4,0.0,42.9
0,0,0,0,0,1,0,0,0,-5.8,0.7,70.1
0,0,0,0,0,0,1,0,0,-6.0,0.0,55.1
1,1,0,0,0,0,0,1,0,-5.8,0.0,60.4
1,1,0,0,0,0,0,0,1,-1.1,0.0,63.4
0,0,1,0,0,0,0,0,0,-0.4,0.0,42.8
0,0,0,1,0,0,0,0,0,2.3,0.0,54.8
0,0,0,0,1,0,0,0,0,3.1,0.0,53.9
0,0,0,0,0,1,0,0,0,-1.5,0.0,42.8
0,0,0,0,0,0,1,0,0,-0.8,0.0,41.4
1,1,0,0,0,0,0,1,0,-0.6,0.0,53.8
1,1,0,0,0,0,0,0,1,0.7,0.0,57.6
