date,holiday,mon,tue,wed,thur,fri,sat,sun,temperature,rain,humidity,visitors,holiday_type
2023-01-01,1,0,0,0,0,0,0,1,-0.8,0.0,54.1,1875,1
2023-01-02,0,1,0,0,0,0,0,0,-3.0,0.0,40.6,422,0
2023-01-03,0,0,1,0,0,0,0,0,-3.5,0.0,55.0,379,0
2023-01-04,0,0,0,1,0,0,0,0,-1.5,0.0,53.3,498,0
2023-01-05,0,0,0,0,1,0,0,0,-1.1,0.0,66.1,426,0
2023-01-06,0,0,0,0,0,1,0,0,1.1,1.0,72.4,533,0
2023-01-07,1,0,0,0,0,0,1,0,2.6,0.0,62.1,1705,1
2023-01-08,1,0,0,0,0,0,0,1,1.2,0.0,62.4,1917,1
2023-01-09,0,1,0,0,0,0,0,0,1.9,0.0,62.5,345,0
2023-01-10,0,0,1,0,0,0,0,0,1.2,0.0,55.8,488,0
2023-01-11,0,0,0,1,0,0,0,0,2.2,0.0,55.0,616,0
2023-01-12,0,0,0,0,1,0,0,0,5.1,0.0,52.6,870,0
2023-01-13,0,0,0,0,0,1,0,0,9.0,1.0,94.4,126,0
2023-01-14,1,0,0,0,0,0,1,0,7.3,1.0,93.0,443,1
2023-01-15,1,0,0,0,0,0,0,1,0.4,0.0,81.0,393,1
2023-01-16,0,1,0,0,0,0,0,0,-3.1,0.0,58.5,332,0
2023-01-17,0,0,1,0,0,0,0,0,-2.4,0.0,55.1,273,0
2023-01-18,0,0,0,1,0,0,0,0,-0.8,0.0,61.6,300,0
2023-01-19,0,0,0,0,1,0,0,0,0.6,0.0,56.3,387,0
2023-01-20,0,0,0,0,0,1,0,0,-1.0,0.0,43.1,290,0
2023-01-21,1,0,0,0,0,0,1,0,-3.3,0.0,51.0,910,1
2023-01-22,1,0,0,0,0,0,0,1,-0.5,0.0,58.1,1274,1
2023-01-23,1,1,0,0,0,0,0,0,0.6,0.0,61.5,3810,1
2023-01-24,1,0,1,0,0,0,0,0,-10.9,0.0,50.8,200,1
2023-01-25,0,0,0,1,0,0,0,0,-11.4,0.0,42.9,32,0
2023-01-26,0,0,0,0,1,0,0,0,-5.8,0.0,70.1,96,0
2023-01-27,0,0,0,0,0,1,0,0,-6.0,0.0,55.1,122,0
2023-01-28,1,0,0,0,0,0,1,0,-5.8,0.0,60.4,893,1
2023-01-29,1,0,0,0,0,0,0,1,-1.1,0.0,63.4,1372,1
2023-01-30,0,1,0,0,0,0,0,0,-0.4,0.0,42.8,497,0
2023-01-31,0,0,1,0,0,0,0,0,2.3,0.0,54.8,419,0
2023-02-01,0,0,0,1,0,0,0,0,3.1,0.0,53.9,474,0
2023-02-02,0,0,0,0,1,0,0,0,-1.5,0.0,42.8,348,0
2023-02-03,0,0,0,0,0,1,0,0,-0.8,0.0,41.4,540,0
2023-02-04,1,0,0,0,0,0,1,0,-0.6,0.0,53.8,3244,1
2023-02-05,1,0,0,0,0,0,0,1,0.7,0.0,57.6,3716,1
2023-02-06,0,1,0,0,0,0,0,0,2.1,0.0,52.8,646,0
2023-02-07,0,0,1,0,0,0,0,0,2.9,0.0,52.5,505,0
2023-02-08,0,0,0,1,0,0,0,0,1.8,0.0,53.4,610,0
2023-02-09,0,0,0,0,1,0,0,0,3.5,1.0,54.4,733,0
2023-02-10,0,0,0,0,0,1,0,0,2.9,1.0,83.1,542,0
2023-02-11,1,0,0,0,0,0,1,0,0.9,0.0,83.6,4168,1
2023-02-12,1,0,0,0,0,0,0,1,1.9,0.0,79.3,3595,1
2023-02-13,0,1,0,0,0,0,0,0,6.3,0.0,62.3,703,0
2023-02-14,0,0,1,0,0,0,0,0,2.4,0.0,53.0,833,0
2023-02-15,0,0,0,1,0,0,0,0,3.4,0.0,55.6,778,0
2023-02-16,0,0,0,0,1,0,0,0,2.7,0.0,63.6,811,0
2023-02-17,0,0,0,0,0,1,0,0,4.2,0.0,51.0,1370,0
2023-02-18,1,0,0,0,0,0,1,0,6.4,0.0,55.6,2946,1
2023-02-19,1,0,0,0,0,0,0,1,3.6,0.0,59.6,2828,1
2023-02-20,0,1,0,0,0,0,0,0,-0.1,0.0,43.4,897,0
2023-02-21,0,0,1,0,0,0,0,0,-1.1,0.0,35.6,595,0
2023-02-22,0,0,0,1,0,0,0,0,2.1,0.0,48.9,1089,0
2023-02-23,0,0,0,0,1,0,0,0,3.4,0.0,48.4,1913,0
2023-02-24,0,0,0,0,0,1,0,0,2.9,0.0,49.3,2736,0
2023-02-25,1,0,0,0,0,0,1,0,0.7,0.0,41.5,5844,1
2023-02-26,1,0,0,0,0,0,0,1,1.9,0.0,37.0,6554,1
2023-02-27,0,1,0,0,0,0,0,0,4.4,0.0,38.5,4312,0
2023-02-28,0,0,1,0,0,0,0,0,5.8,0.0,54.3,4655,0
2023-03-01,1,0,0,1,0,0,0,0,6.6,0.0,52.5,4924,1
2023-03-02,0,0,0,0,1,0,0,0,2.3,0.0,25.9,332,0
2023-03-03,0,0,0,0,0,1,0,0,4.2,0.0,45.9,447,0
2023-03-04,1,0,0,0,0,0,1,0,6.4,0.0,53.3,5028,1
2023-03-05,1,0,0,0,0,0,0,1,7.9,0.0,41.0,5316,1
2023-03-06,0,1,0,0,0,0,0,0,8.3,0.0,38.6,433,0
2023-03-07,0,0,1,0,0,0,0,0,11.9,0.0,41.6,391,0
2023-03-08,0,0,0,1,0,0,0,0,14.5,0.0,34.9,467,0
2023-03-09,0,0,0,0,1,0,0,0,13.9,0.0,57.3,337,0
2023-03-10,0,0,0,0,0,1,0,0,14.3,0.0,48.4,729,0
2023-03-11,1,0,0,0,0,0,1,0,16.4,0.0,33.0,8168,1
2023-03-12,1,0,0,0,0,0,0,1,6.8,1.0,62.1,174,1
2023-03-13,0,1,0,0,0,0,0,0,3.5,0.0,31.6,231,0
2023-03-14,0,0,1,0,0,0,0,0,9.4,0.0,38.4,403,0
2023-03-15,0,0,0,1,0,0,0,0,11.5,0.0,56.4,472,0
2023-03-16,0,0,0,0,1,0,0,0,6.1,0.0,24.4,337,0
2023-03-17,0,0,0,0,0,1,0,0,7.3,0.0,35.4,664,0
2023-03-18,1,0,0,0,0,0,1,0,9.3,0.0,32.0,6472,1
2023-03-19,1,0,0,0,0,0,0,1,8.7,0.0,41.4,6538,1
2023-03-20,0,1,0,0,0,0,0,0,10.6,0.0,37.8,522,0
2023-03-21,0,0,1,0,0,0,0,0,14.0,0.0,32.5,586,0
2023-03-22,0,0,0,1,0,0,0,0,17.0,0.0,44.9,772,0
2023-03-23,0,0,0,0,1,0,0,0,15.0,1.0,77.0,125,0
2023-03-24,0,0,0,0,0,1,0,0,12.4,0.0,55.0,845,0
2023-03-25,1,0,0,0,0,0,1,0,10.8,0.0,65.5,5718,1
2023-03-26,1,0,0,0,0,0,0,1,9.7,0.0,36.0,6562,1
2023-03-27,0,1,0,0,0,0,0,0,7.4,0.0,35.5,688,0
2023-03-28,0,0,1,0,0,0,0,0,8.7,0.0,47.1,544,0
2023-03-29,0,0,0,1,0,0,0,0,11.8,0.0,43.5,701,0
2023-03-30,0,0,0,0,1,0,0,0,14.2,0.0,30.3,1011,0
2023-03-31,0,0,0,0,0,1,0,0,14.7,0.0,31.0,1693,0
2023-04-01,1,0,0,0,0,0,1,0,16.8,0.0,30.9,8698,1
2023-04-02,1,0,0,0,0,0,0,1,16.9,0.0,26.8,7663,1
2023-04-03,0,1,0,0,0,0,0,0,16.8,0.0,25.8,1495,0
2023-04-04,0,0,1,0,0,0,0,0,15.2,1.0,50.9,751,0
2023-04-05,0,0,0,1,0,0,0,0,12.1,1.0,91.0,248,0
2023-04-06,0,0,0,0,1,0,0,0,8.7,1.0,88.5,362,0
2023-04-07,0,0,0,0,0,1,0,0,9.0,0.0,60.0,1086,0
2023-04-08,1,0,0,0,0,0,1,0,8.6,0.0,44.4,6751,1
2023-04-09,1,0,0,0,0,0,0,1,10.1,0.0,47.0,7109,1
2023-04-10,0,1,0,0,0,0,0,0,12.6,0.0,45.1,1234,0
2023-04-11,0,0,1,0,0,0,0,0,14.7,0.0,65.5,1219,0
2023-04-12,0,0,0,1,0,0,0,0,10.9,0.0,30.1,932,0
2023-04-13,0,0,0,0,1,0,0,0,13.5,0.0,28.8,1484,0
2023-04-14,0,0,0,0,0,1,0,0,15.1,0.0,35.8,2418,0
2023-04-15,1,0,0,0,0,0,1,0,12.5,1.0,74.5,2592,1
2023-04-16,1,0,0,0,0,0,0,1,10.9,0.0,64.5,5282,1
2023-04-17,0,1,0,0,0,0,0,0,13.6,0.0,51.3,2563,0
2023-04-18,0,0,1,0,0,0,0,0,13.8,1.0,78.3,701,0
2023-04-19,0,0,0,1,0,0,0,0,20.2,0.0,65.0,3368,0
2023-04-20,0,0,0,0,1,0,0,0,19.9,0.0,69.5,4016,0
2023-04-21,0,0,0,0,0,1,0,0,17.5,0.0,61.0,5205,0
2023-04-22,1,0,0,0,0,0,1,0,16.2,0.0,30.4,8324,1
2023-04-23,1,0,0,0,0,0,0,1,15.9,0.0,36.4,5342,1
2023-04-24,0,1,0,0,0,0,0,0,15.0,0.0,41.9,2269,0
2023-04-25,0,0,1,0,0,0,0,0,9.3,1.0,74.6,1367,0
2023-04-26,0,0,0,1,0,0,0,0,9.5,0.0,66.8,3412,0
2023-04-27,0,0,0,0,1,0,0,0,12.7,0.0,51.5,6257,0
2023-04-28,0,0,0,0,0,1,0,0,16.2,0.0,53.6,5822,0
2023-04-29,1,0,0,0,0,0,1,0,14.0,1.0,81.0,1231,1
2023-04-30,1,0,0,0,0,0,0,1,13.5,0.0,57.4,11765,1
2023-05-01,1,1,0,0,0,0,0,0,14.7,0.0,49.6,11328,1
2023-05-02,0,0,1,0,0,0,0,0,17.0,0.0,42.1,2313,0
2023-05-03,0,0,0,1,0,0,0,0,19.1,0.0,46.4,2954,0
2023-05-04,0,0,0,0,1,0,0,0,20.1,1.0,63.0,7327,0
2023-05-06,1,0,0,0,0,0,1,0,15.1,1.0,89.3,766,1
2023-05-07,1,0,0,0,0,0,0,1,12.0,0.0,66.5,2698,1
2023-05-08,0,1,0,0,0,0,0,0,13.7,0.0,59.3,1664,0
2023-05-09,0,0,1,0,0,0,0,0,16.5,0.0,54.8,2175,0
2023-05-10,0,0,0,1,0,0,0,0,17.3,0.0,51.9,3337,0
2023-05-11,0,0,0,0,1,0,0,0,18.9,0.0,45.0,2231,0
2023-05-12,0,0,0,0,0,1,0,0,18.5,0.0,46.4,5363,0
2023-05-13,1,0,0,0,0,0,1,0,18.2,0.0,54.3,9643,1
2023-05-14,1,0,0,0,0,0,0,1,17.8,0.0,51.3,6823,1
2023-05-15,0,1,0,0,0,0,0,0,20.5,0.0,50.9,1385,0
2023-05-16,0,0,1,0,0,0,0,0,23.5,0.0,41.9,1611,0
2023-05-17,0,0,0,1,0,0,0,0,23.6,0.0,44.8,2084,0
2023-05-18,0,0,0,0,1,0,0,0,19.2,0.0,68.0,1810,0
2023-05-19,0,0,0,0,0,1,0,0,20.8,0.0,61.9,3749,0
2023-05-20,1,0,0,0,0,0,1,0,20.6,0.0,66.6,8572,1
2023-05-21,1,0,0,0,0,0,0,1,18.3,0.0,69.1,5741,1
2023-05-22,0,1,0,0,0,0,0,0,17.5,1.0,67.8,785,0
2023-05-23,0,0,1,0,0,0,0,0,18.5,0.0,62.5,1398,0
2023-05-24,0,0,0,1,0,0,0,0,19.9,0.0,54.8,1082,0
2023-05-25,0,0,0,0,1,0,0,0,21.3,0.0,45.0,1796,0
2023-05-26,0,0,0,0,0,1,0,0,21.8,0.0,52.9,2939,0
2023-05-27,1,0,0,0,0,0,1,0,20.8,0.0,79.0,8312,1
2023-05-28,1,0,0,0,0,0,0,1,20.2,1.0,91.8,852,1
2023-05-29,0,1,0,0,0,0,0,0,20.4,1.0,89.3,1005,0
2023-05-30,0,0,1,0,0,0,0,0,21.6,0.0,73.0,786,0
2023-05-31,0,0,0,1,0,0,0,0,22.3,0.0,53.6,1102,0
2023-06-01,0,0,0,0,1,0,0,0,22.4,0.0,63.9,1476,0
2023-06-02,0,0,0,0,0,1,0,0,21.9,0.0,67.8,1604,0
2023-06-03,1,0,0,0,0,0,1,0,21.9,0.0,51.6,8655,1
2023-06-04,1,0,0,0,0,0,0,1,22.6,0.0,50.1,8697,1
2023-06-05,0,1,0,0,0,0,0,0,21.5,0.0,59.3,6034,0
2023-06-06,1,0,1,0,0,0,0,0,21.4,0.0,62.1,7563,1
2023-06-07,0,0,0,1,0,0,0,0,21.7,0.0,68.0,728,0
2023-06-08,0,0,0,0,1,0,0,0,22.3,0.0,69.6,781,0
2023-06-09,0,0,0,0,0,1,0,0,23.2,0.0,56.8,1049,0
2023-06-10,1,0,0,0,0,0,1,0,23.3,1.0,63.1,3946,1
2023-06-11,1,0,0,0,0,0,0,1,23.5,0.0,67.5,3240,1
2023-06-12,0,1,0,0,0,0,0,0,23.3,0.0,65.0,641,0
2023-06-13,0,0,1,0,0,0,0,0,22.8,0.0,64.0,752,0
2023-06-14,0,0,0,1,0,0,0,0,22.6,0.0,60.8,820,0
2023-06-15,0,0,0,0,1,0,0,0,22.3,0.0,63.9,948,0
2023-06-16,0,0,0,0,0,1,0,0,24.4,0.0,57.3,1243,0
2023-06-17,1,0,0,0,0,0,1,0,25.0,0.0,54.3,5801,1
2023-06-18,1,0,0,0,0,0,0,1,26.1,0.0,50.4,2842,1
2023-06-19,0,1,0,0,0,0,0,0,27.0,0.0,51.6,333,0
2023-06-20,0,0,1,0,0,0,0,0,23.7,1.0,61.0,556,0
2023-06-21,0,0,0,1,0,0,0,0,21.3,1.0,87.1,153,0
2023-06-22,0,0,0,0,1,0,0,0,22.9,0.0,69.3,476,0
2023-06-23,0,0,0,0,0,1,0,0,25.7,0.0,61.3,752,0
2023-06-24,1,0,0,0,0,0,1,0,27.1,0.0,59.9,5164,1
2023-06-25,1,0,0,0,0,0,0,1,26.7,0.0,58.0,2484,1
2023-06-26,0,1,0,0,0,0,0,0,23.8,1.0,89.8,37,0
2023-06-27,0,0,1,0,0,0,0,0,26.1,1.0,70.8,339,0
2023-06-28,0,0,0,1,0,0,0,0,24.1,1.0,78.8,304,0
2023-06-29,0,0,0,0,1,0,0,0,24.6,1.0,88.1,47,0
2023-06-30,0,0,0,0,0,1,0,0,24.2,1.0,90.5,141,0
2023-07-01,1,0,0,0,0,0,1,0,27.3,0.0,75.6,3265,1
2023-07-02,1,0,0,0,0,0,0,1,27.5,0.0,73.5,1910,1
2023-07-03,0,1,0,0,0,0,0,0,28.4,0.0,71.0,221,0
2023-07-04,0,0,1,0,0,0,0,0,24.7,1.0,87.3,22,0
2023-07-05,0,0,0,1,0,0,0,0,24.3,1.0,77.8,270,0
2023-07-06,0,0,0,0,1,0,0,0,26.4,0.0,59.8,496,0
2023-07-07,0,0,0,0,0,1,0,0,21.6,1.0,87.6,132,0
2023-07-08,1,0,0,0,0,0,1,0,23.9,1.0,85.6,2625,1
2023-07-09,1,0,0,0,0,0,0,1,26.4,0.0,81.6,1412,1
2023-07-10,0,1,0,0,0,0,0,0,26.5,1.0,74.8,206,0
2023-07-11,0,0,1,0,0,0,0,0,23.6,1.0,89.0,57,0
2023-07-12,0,0,0,1,0,0,0,0,26.7,1.0,81.4,166,0
2023-07-13,0,0,0,0,1,0,0,0,25.2,1.0,90.0,30,0
2023-07-14,0,0,0,0,0,1,0,0,24.2,1.0,94.5,4,0
2023-07-15,1,0,0,0,0,0,1,0,23.2,1.0,93.0,42,1
2023-07-16,1,0,0,0,0,0,0,1,24.3,1.0,88.5,417,1
2023-07-17,0,1,0,0,0,0,0,0,25.4,1.0,87.0,164,0
2023-07-18,0,0,1,0,0,0,0,0,23.0,1.0,94.4,15,0
2023-07-19,0,0,0,1,0,0,0,0,26.0,0.0,78.0,282,0
2023-07-20,0,0,0,0,1,0,0,0,26.8,0.0,75.8,676,0
2023-07-21,0,0,0,0,0,1,0,0,27.6,0.0,75.0,319,0
2023-07-22,1,0,0,0,0,0,1,0,25.3,1.0,78.4,1630,1
2023-07-23,1,0,0,0,0,0,0,1,24.8,1.0,89.4,345,1
2023-07-24,0,1,0,0,0,0,0,0,26.1,1.0,82.3,520,0
