holiday,weekend,mon,tue,wed,thur,fri,sat,sun,temperature,rain,humidity,dayoff,sandwich,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,spring,summer,fall,winter,event
1,1,0,0,0,0,0,0,1,0.24651162790697673,0.0,0.4068493150684932,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,1,0,0,0,0,0,0,0.1953488372093023,0.0,0.22191780821917806,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,1,0,0,0,0,0,0.18372093023255812,0.0,0.41917808219178077,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,1,0,0,0,0,0.23023255813953486,0.0,0.3958904109589041,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,0,1,0,0,0,0.2395348837209302,0.0,0.5712328767123287,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,0,0,1,0,0,0.2906976744186046,0.009467989179440937,0.6575342465753425,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1,1,0,0,0,0,0,1,0,0.3255813953488372,0.003155996393146979,0.5164383561643836,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1,1,0,0,0,0,0,0,1,0.2930232558139535,0.0,0.5205479452054794,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,1,0,0,0,0,0,0,0.3093023255813953,0.0,0.5219178082191781,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,1,0,0,0,0,0,0.2930232558139535,0.0,0.4301369863013699,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,1,0,0,0,0,0.31627906976744186,0.0,0.41917808219178077,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,0,1,0,0,0,0.3837209302325581,0.0,0.38630136986301367,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,0,0,1,0,0,0.47441860465116276,0.09738503155996393,0.9589041095890412,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1,1,0,0,0,0,0,1,0,0.43488372093023253,0.011722272317403066,0.9397260273972603,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1,1,0,0,0,0,0,0,1,0.27441860465116275,0.002254283137962128,0.7753424657534247,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,1,0,0,0,0,0,0,0.19302325581395346,0.0,0.4671232876712329,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,1,0,0,0,0,0,0.20930232558139533,0.0,0.42054794520547945,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,1,0,0,0,0,0.24651162790697673,0.0,0.5095890410958904,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,0,1,0,0,0,0.27906976744186046,0.0,0.43698630136986294,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
