iter	RMSE
0	2503.958246
1	2427.73615
2	2359.058207
3	2303.685263
4	2244.657327
5	2186.784954
6	2138.669428
7	2092.418243
8	2047.448955
9	1999.480011
10	1963.479678
11	1924.432597
12	1891.198297
13	1852.477423
14	1816.330512
15	1780.293081
16	1748.785571
17	1723.954662
18	1700.254938
19	1681.379679
20	1661.719551
21	1637.163519
22	1613.715477
23	1591.778139
24	1577.137508
25	1560.560354
26	1542.008776
27	1527.680092
28	1513.600848
29	1502.987598
30	1487.951766
31	1475.722795
32	1464.119356
33	1455.947035
34	1445.570644
35	1434.583207
36	1425.74342
37	1415.385176
38	1407.287635
39	1398.592626
40	1389.788068
41	1381.756554
42	1375.022499
43	1368.053769
44	1359.900981
45	1352.285801
46	1345.549603
47	1338.997738
48	1332.65718
49	1325.573492
50	1321.388724
51	1314.529633
52	1307.29883
53	1303.436625
54	1298.936484
55	1293.584103
56	1287.874919
57	1283.740392
58	1279.479512
59	1274.923181
60	1269.747194
61	1265.834342
62	1261.804561
63	1257.822334
64	1254.603876
65	1251.422439
66	1247.416049
67	1244.280043
68	1240.863644
69	1238.434928
70	1235.837977
71	1233.449345
72	1230.339225
73	1229.093031
74	1225.826438
75	1221.432807
76	1218.850086
77	1215.691675
78	1211.060653
79	1206.985676
80	1204.487851
81	1203.884729
82	1201.919575
83	1200.012035
84	1197.133531
85	1194.880905
86	1191.225961
87	1190.936622
88	1188.710568
89	1188.376507
90	1185.397955
91	1183.627384
92	1182.216972
93	1179.191407
94	1177.351357
95	1175.328451
96	1172.969123
97	1171.70385
98	1169.839365
99	1167.649414
100	1165.763018
101	1164.160262
102	1162.179217
103	1161.025571
104	1160.274826
105	1158.240487
106	1156.244475
107	1155.291681
108	1153.923716
109	1152.27522
110	1150.468212
111	1148.704452
112	1147.449471
113	1143.914373
114	1143.364749
115	1141.749915
116	1140.951246
117	1140.845195
118	1138.848288
119	1136.569851
120	1134.210715
121	1133.613393
122	1132.124741
123	1130.681911
124	1129.612503
125	1128.424118
126	1126.035649
127	1123.989139
128	1123.342412
129	1121.285015
130	1118.384864
131	1116.417202
132	1114.731778
133	1112.830999
134	1111.097036
135	1108.575165
136	1105.157613
137	1104.365584
138	1101.907732
139	1099.682464
140	1097.334805
141	1096.378357
142	1093.260051
143	1092.371207
144	1090.057069
145	1088.63073
146	1086.614765
147	1083.926886
148	1081.462331
149	1079.977087
150	1077.981897
151	1076.773022
152	1075.707661
153	1072.964697
154	1072.283786
155	1070.735131
156	1070.094884
157	1069.199863
158	1068.036053
159	1066.030057
160	1064.788447
161	1062.886709
162	1061.194977
163	1060.452155
164	1059.081249
165	1057.951039
166	1056.854958
167	1054.868179
168	1052.208844
169	1051.105496
170	1049.967586
171	1049.391536
172	1047.683915
173	1046.743548
174	1044.521423
175	1042.923509
176	1041.941852
177	1041.087827
178	1040.7667
179	1039.359382
180	1038.157169
181	1037.283913
182	1035.477022
183	1034.19168
184	1032.357019
185	1031.849299
186	1030.164529
187	1029.449614
188	1028.759928
189	1027.232047
190	1026.530023
191	1025.145383
192	1024.480751
193	1024.091043
194	1023.445418
195	1022.662111
196	1022.359565
197	1020.561522
198	1018.396114
199	1018.009552
200	1017.55135
201	1017.076162
202	1014.706234
203	1013.981483
204	1012.45131
205	1010.786583
206	1010.202151
207	1009.212625
208	1008.635203
209	1008.085799
210	1007.296218
211	1006.959938
212	1006.292931
213	1005.871396
214	1003.932793
215	1002.174143
216	1001.674514
217	1000.944212
218	1000.473758
219	999.9581423
220	999.5188722
221	998.0832566
222	997.1983853
223	996.6634535
224	994.8331204
225	993.1885999
226	991.4665463
227	989.3479325
228	988.7384537
229	988.3129028
230	987.2494519
231	986.4970116
232	986.1903928
233	985.7552821
234	984.3122284
235	983.205417
236	982.7535402
237	981.4934751
238	980.0473437
239	979.6027094
240	979.1244208
241	977.0375084
242	975.6791476
243	974.4689406
244	973.9525068
245	972.7750547
246	972.3035259
247	970.630939
248	969.3809512
249	968.5307261
250	967.620415
251	967.2215711
252	965.6916767
253	964.6684317
254	964.112321
255	963.1277942
256	962.9224572
257	961.076506
258	959.4844458
259	958.5887399
260	957.6804385
261	956.5286979
262	955.6078775
263	954.255944
264	954.0115149
265	952.3472408
266	950.9779943
267	950.156769
268	948.5710376
269	947.5471467
270	947.1365134
271	946.5042587
272	945.3925327
273	944.6798779
274	943.6375574
275	942.893422
276	942.025928
277	941.2198523
278	940.6451431
279	939.9876393
280	939.6648173
281	938.8010442
282	938.1682142
283	937.0518953
284	936.1491565
285	935.2693325
286	934.411815
287	933.5760146
288	932.4448872
289	931.4509662
290	930.8662005
291	929.8366916
292	929.0406435
293	928.6925902
294	928.3272147
295	926.9934202
296	926.1463241
297	925.4225783
298	924.5128116
299	922.9279758
300	922.6077969
301	922.0907542
302	921.7032642
303	920.5145337
304	920.0111174
305	919.3830654
306	918.6237189
307	917.6670415
308	916.9829634
309	915.8466262
310	914.6952006
311	913.9238335
312	913.3110323
313	911.5844038
314	910.5811388
315	909.7394815
316	909.208058
317	908.4776168
318	907.8184105
319	907.0707358
320	906.3016016
321	905.6462807
322	905.1849761
323	904.738322
324	903.6982141
325	903.3581716
326	902.1289896
327	901.4203414
328	901.0571676
329	900.5226097
330	900.201967
331	898.793418
332	898.222403
333	897.5517203
334	896.9459238
335	896.3654474
336	895.577389
337	895.2744113
338	893.9167206
339	893.1854926
340	892.8042458
341	892.2430669
342	891.6241529
343	891.0976278
344	890.6136005
345	889.646786
346	889.1834032
347	888.5137272
348	888.1689492
349	887.3741626
350	886.8099173
351	886.2153374
352	885.8208893
353	885.0185846
354	884.32219
355	883.8061121
356	882.8432077
357	881.8463868
358	881.1607516
359	880.4602637
360	880.2541723
361	879.8708945
362	879.4964635
363	878.7685361
364	878.382582
365	878.1617965
366	877.1201506
367	876.5983817
368	876.0488359
369	875.4591289
370	875.1645232
371	874.3581095
372	873.8825109
373	873.4020571
374	872.8574349
375	872.1797328
376	870.7996135
377	870.2361914
378	869.8751077
379	869.0885353
380	868.7100303
381	867.9719157
382	867.4251409
383	867.0130711
384	866.4515915
385	866.0690763
386	865.3949407
387	864.8817161
388	864.4769921
389	863.9862255
390	862.7482699
391	861.9772041
392	861.3555082
393	860.4267147
394	859.0174875
395	858.5793787
396	857.7670814
397	857.3653756
398	856.3402515
399	855.6498771
