content,sdate,edate,place
충남대평생교육원 임학빈 사진교실,2023-01-06,2023-01-09,116
대전도시철도와 함께하는 중구 문화공연 안내,2023-01-06,2023-02-26,105
제8회 연안관리 홍보 콘텐츠 수상작 전시,2023-01-09,2023-01-18,111
장애아동 교육권 보장 캠페인 및 작품전시회,2023-01-30,2023-02-03,111
시니어 패션쇼,2023-02-06,2023-02-06,111
임동환wave의 모락모락버스킹,2023-02-25,2023-02-25,116
중구 연극 공연 안내,2023-02-27,2023-03-12,105
학교폭력 예방 포스터 전시,2023-03-02,2023-03-31,111
금강사랑 그림그리기대회 수상작 전시회,2023-03-06,2023-03-17,116
대전도시철도와 함께하는 중구 문화공연 안내,2023-03-14,2023-03-17,105
대전도시철도와 함께하는 중구 문화공연 안내,2023-03-18,2023-05-07,105
찾아가는 홍보 캠페인 ,2023-03-27,2023-03-31,101
제3회 봄 시화전,2023-04-01,2023-04-15,104
2023 한마음 치매극복 걷기행사 홍보부스,2023-04-04,2023-04-04,111
캠페인,2023-04-12,2023-04-26,116
시낭송연습,2023-04-16,2023-04-16,107
보이스피싱 피해예방 가두캠페인,2023-04-18,2023-04-18,111
출근길 보이스피싱 예방 캠페인 ,2023-04-18,2023-04-18,105
출근길 보이스피싱 예방 캠페인 ,2023-04-18,2023-04-18,112
출근길 보이스피싱 예방 캠페인 ,2023-04-18,2023-04-18,104
출근길 보이스피싱 예방 캠페인 ,2023-04-18,2023-04-18,122
테스트,2023-05-20,2023-05-21,122
시낭송공연,2023-05-21,2023-05-21,107
"활동 그림전 「자원봉사, 대전의 온기」",2023-05-22,2023-05-24,121
2023 농아인의 날 주간행사,2023-05-31,2023-05-31,104
대전도시철도와 함께하는 중구 문화공연 안내,2023-06-01,2023-07-16,105
구강보건의 날 기념 홍보 포스터 공모 작품 전시회,2023-06-05,2023-06-12,111
aaa,2023-06-05,2023-06-07,101
복지사각지대발굴을 위한 홍보활동캠페인,2023-06-08,2023-06-08,110
대전아트청소년오케스트라 작은음악회,2023-06-10,2023-06-10,111
유노오케스트라 공연 ,2023-06-11,2023-06-11,120
우송정보대학교  k-뷰티학과 졸업 작품 전시회,2023-06-12,2023-06-20,104
유니세프 홍보 캠페인,2023-06-27,2023-06-29,116
백제문화제재단 사진전,2023-07-03,2023-07-10,104
밀알복지재단 장애인식개선 캠페인,2023-07-10,2023-07-13,111
백제문화제재단 사진전,2023-07-10,2023-07-17,105
2023년 유성구중독관리통합지원센터 지하철 캠페인,2023-07-10,2023-07-10,122
2023년 유성구중독관리통합지원센터 지하철 캠페인,2023-07-11,2023-07-11,121
2023년 유성구중독관리통합지원센터 지하철 캠페인,2023-07-12,2023-07-12,120
아동학대 예방 캠페인,2023-07-13,2023-07-13,112
2023년 유성구중독관리통합지원센터 지하철 캠페인,2023-07-13,2023-07-13,119
아동학대 예방 캠페인,2023-07-13,2023-07-13,105
2023년 유성구중독관리통합지원센터 지하철 캠페인,2023-07-13,2023-07-13,118
아동학대 예방 캠페인,2023-07-13,2023-07-13,105
2023년 유성구중독관리통합지원센터 지하철 캠페인,2023-07-14,2023-07-14,117
2023년 유성구중독관리통합지원센터 지하철 캠페인,2023-07-17,2023-07-17,116
백제문화제재단 사진전,2023-07-17,2023-07-24,107
밀알복지재단 장애인식개선 캠페인,2023-07-18,2023-07-21,116
제 10회 대전장애인 백일장 및 사생대회 작품 전시회,2023-07-18,2023-07-24,111
법무부 저스티스 서포터스 마약예방 캠페인,2023-07-23,2023-07-23,105
밀알복지재단 장애인식개선 캠페인,2023-07-24,2023-07-28,122
밀알복지재단 장애인식개선 캠페인,2023-07-31,2023-08-04,104
